Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-01-02,76113.9453125,76305.18638112438,74775.2578321294,74775.2578321294,17142847
2024-01-03,73627.8203125,75348.99013798701,73627.8203125,75062.12850040584,21753644
2024-01-04,73245.34375,73914.68762238903,72767.24098400783,72767.24098400783,15324439
2024-01-05,73245.34375,73723.44651599217,73054.10264360314,73340.96430319843,11304316
2024-01-08,73149.71875,74105.92422385621,73054.09820261438,73627.82148692811,11088724
2024-01-09,71428.546875,74297.16321536145,71046.06469628515,74010.3015813253,26019249
2024-01-10,70376.7265625,71906.65540081522,69994.24435292119,71715.41429602582,20259529
2024-01-11,69994.2421875,70376.7243852459,69516.13944031762,69707.38053919058,57691266
2024-01-12,69898.6171875,70854.82262098153,69611.75555745554,69802.99664415185,13038939
2024-01-15,70663.59375,70759.21430987821,69994.24983085251,69994.24983085251,2957915
2024-01-16,69420.53125,70472.35748106061,69324.91068353994,70281.1163481405,14760415
2024-01-17,67890.578125,70089.85037411972,67890.578125,69898.60930897888,22683660
2024-01-18,68559.9375,68846.79916317991,67603.73195606694,68464.3169456067,17853397
2024-01-19,71428.546875,71428.546875,69802.99761546185,70281.10033885542,23363427
2024-01-22,71811.0390625,72671.62408455393,71715.41850449401,72576.00352654794,19673375
2024-01-23,71906.671875,72480.39532081118,71046.08670628324,72384.77474650931,14786224
2024-01-24,70759.203125,71906.64966216216,70281.10040118244,71906.64966216216,12860661
2024-01-25,70854.8203125,71524.16409412956,70472.33815156882,70950.44085273279,11737747
2024-01-26,70185.484375,71237.31043511581,70089.86382408038,70472.34602775886,11160062
2024-01-29,71141.6796875,71906.64398521505,70281.09485257056,70567.95646421371,13976521
2024-01-30,71046.078125,72002.28375252355,70472.35474848587,71715.42206426649,12244418
2024-01-31,69516.140625,70759.20778885833,69324.89952286796,70185.48448246217,15703560
2024-02-01,70376.7265625,70950.44987686821,69707.38269573709,69803.00324813179,19881033
2024-02-02,71906.671875,71906.671875,70472.36326047208,70759.22498337766,14955881
2024-02-05,71046.078125,71524.18093876178,70281.11362298117,70950.45756224764,19026021
2024-02-06,71141.6796875,71428.54129914314,70089.8537781418,71046.05915028561,14559254
2024-02-07,71715.40625,72193.50895833333,71046.06245833334,71332.92408333333,16566445
